"","Tank","Date","Avg_SL_mm","Pop","Treatment","Pop_x_Treat","Growth","Age","Birthday","brood.size","mom.sl","date.food.treatment.began","days.mother.in.food.treatment","gonopodium_date","age.at.gonopodium.days","earliest.size.measurement.mm","Time.diff.days","Rel.Growth.Rate.body.lengths.per.day","week.of.measure","mom.sl.2"
"60","32-PSO-L","2019-07-22",18.239125,"PSO","L","PSO-L",2.289875,20,"2019-07-02",9,48,"2019-06-24",8,"2019-09-02",62,10.4002777777778,7,0.0205103688261204,3,48
"82","32-PSO-L","2019-07-29",20.478125,"PSO","L","PSO-L",2.239,27,"2019-07-02",9,48,"2019-06-24",8,"2019-09-02",62,10.4002777777778,7,0.0175368688386719,4,48
"105","32-PSO-L","2019-08-05",24.257125,"PSO","L","PSO-L",3.779,34,"2019-07-02",9,48,"2019-06-24",8,"2019-09-02",62,10.4002777777778,7,0.0263626256240326,5,48
"132","32-PSO-L","2019-08-27",28.769875,"PSO","L","PSO-L",4.51275,56,"2019-07-02",9,48,"2019-06-24",8,"2019-09-02",62,10.4002777777778,22,0.00845627830998108,8,48
"161","33-PSO-L","2019-10-17",14.9644,"PSO","L","PSO-L",5.5474,16,"2019-10-01",7,41,"2019-06-24",99,NA,NA,9.417,16,0.036817723266433,3,41
"169","33-PSO-L","2019-10-24",19.3034285714286,"PSO","L","PSO-L",4.33902857142857,23,"2019-10-01",7,41,"2019-06-24",99,NA,NA,9.417,7,0.041422390773422,4,41
"181","33-PSO-L","2019-11-11",22.4828571428571,"PSO","L","PSO-L",3.17942857142857,41,"2019-10-01",7,41,"2019-06-24",99,NA,NA,9.417,18,0.00915044288538264,6,41
"186","33-PSO-L","2019-11-18",26.8595714285714,"PSO","L","PSO-L",4.37671428571429,48,"2019-10-01",7,41,"2019-06-24",99,NA,NA,9.417,7,0.027809850589111,7,41
"150","39-PSO-H","2019-09-30",16.4714285714286,"PSO","H","PSO-H",6.15031746031746,14,"2019-09-16",9,40,"2019-06-24",84,NA,NA,10.3211111111111,14,0.0425640597502862,2,40
"162","39-PSO-H","2019-10-18",24.132,"PSO","H","PSO-H",7.66057142857143,32,"2019-09-16",9,40,"2019-06-24",84,NA,NA,10.3211111111111,18,0.02583791076419,5,40
"170","39-PSO-H","2019-10-24",25.153375,"PSO","H","PSO-H",1.021375,38,"2019-09-16",9,40,"2019-06-24",84,NA,NA,10.3211111111111,6,0.00705408447980551,6,40
"175","39-PSO-H","2019-10-29",25.67375,"PSO","H","PSO-H",0.520374999999998,43,"2019-09-16",9,40,"2019-06-24",84,NA,NA,10.3211111111111,5,0.0041376157275117,7,40
"182","39-PSO-H","2019-11-11",29.8161818181818,"PSO","H","PSO-H",4.14243181818182,56,"2019-09-16",9,40,"2019-06-24",84,NA,NA,10.3211111111111,13,0.0124114553346746,8,40
"48","48-PSO-H","2019-07-15",11.4022,"PSO","H","PSO-H",0.971399999999999,4,"2019-07-11",5,NA,"2019-07-10",1,"2019-10-02",83,10.4308,4,0.0232820109675193,1,41.9242424242424
"139","54-PSO-L","2019-08-27",14.3354444444444,"PSO","L","PSO-L",4.41644444444444,8,"2019-08-19",9,35,"2019-07-09",41,"2019-10-15",57,9.919,8,0.0556563721701336,2,35
"153","54-PSO-L","2019-09-30",27.378125,"PSO","L","PSO-L",13.0426805555556,42,"2019-08-19",9,35,"2019-07-09",41,"2019-10-15",57,9.919,34,0.0267594250823978,6,35
"154","56-PSO-H","2019-09-30",24.275,"PSO","H","PSO-H",14.133,34,"2019-08-27",6,43,"2019-06-24",64,NA,NA,10.142,34,0.040985650817219,5,43
"164","56-PSO-H","2019-10-18",29.3105,"PSO","H","PSO-H",5.0355,52,"2019-08-27",6,43,"2019-06-24",64,NA,NA,10.142,18,0.011524201853759,8,43
"172","56-PSO-H","2019-10-24",28.88075,"PSO","H","PSO-H",-0.429750000000002,58,"2019-08-27",6,43,"2019-06-24",64,NA,NA,10.142,6,-0.00244366353354601,9,43
"176","56-PSO-H","2019-10-29",28.328,"PSO","H","PSO-H",-0.55275,63,"2019-08-27",6,43,"2019-06-24",64,NA,NA,10.142,5,-0.00382780918085576,9,43
"183","56-PSO-H","2019-11-11",31.836,"PSO","H","PSO-H",3.508,76,"2019-08-27",6,43,"2019-06-24",64,NA,NA,10.142,13,0.00952577498750896,11,43
"141","57-PSO-L","2019-08-27",14.171,"PSO","L","PSO-L",4.27933333333333,8,"2019-08-19",6,29,"2019-06-24",56,NA,NA,9.89166666666667,8,0.0540775063184499,2,29
"155","57-PSO-L","2019-09-30",27.3135,"PSO","L","PSO-L",13.1425,42,"2019-08-19",6,29,"2019-06-24",56,NA,NA,9.89166666666667,34,0.0272771235372986,6,29
"165","57-PSO-L","2019-10-18",31.681,"PSO","L","PSO-L",4.3675,60,"2019-08-19",6,29,"2019-06-24",56,NA,NA,9.89166666666667,18,0.00888347845896311,9,29
"173","57-PSO-L","2019-10-24",29.8545,"PSO","L","PSO-L",-1.8265,66,"2019-08-19",6,29,"2019-06-24",56,NA,NA,9.89166666666667,6,-0.00960880864450825,10,29
"177","57-PSO-L","2019-10-29",32.262,"PSO","L","PSO-L",2.4075,71,"2019-08-19",6,29,"2019-06-24",56,NA,NA,9.89166666666667,5,0.0161282218760991,11,29
"184","57-PSO-L","2019-11-11",34.56675,"PSO","L","PSO-L",2.30475,84,"2019-08-19",6,29,"2019-06-24",56,NA,NA,9.89166666666667,13,0.00549527188452239,12,29
"188","57-PSO-L","2019-11-18",36.796,"PSO","L","PSO-L",2.22925,91,"2019-08-19",6,29,"2019-06-24",56,NA,NA,9.89166666666667,7,0.00921302366332634,13,29
"111","58-PSO-H-2ndBrood","2019-08-05",10.1895333333333,"PSO","H","PSO-H",1.52153333333333,2,"2019-08-03",26,39,"2019-06-24",40,NA,NA,8.668,2,0.0877672665743732,1,39
"142","58-PSO-H-2ndBrood","2019-08-27",12.4632666666667,"PSO","H","PSO-H",2.27373333333333,24,"2019-08-03",26,39,"2019-06-24",40,NA,NA,8.668,22,0.0101429095691182,4,39
"156","58-PSO-H-2ndBrood","2019-09-30",14.2170666666667,"PSO","H","PSO-H",1.7538,58,"2019-08-03",26,39,"2019-06-24",40,NA,NA,8.668,34,0.00413875064385285,9,39
"166","58-PSO-H-2ndBrood","2019-10-18",15.18675,"PSO","H","PSO-H",0.969683333333334,76,"2019-08-03",26,39,"2019-06-24",40,NA,NA,8.668,18,0.00378919910550908,11,39
"174","58-PSO-H-2ndBrood","2019-10-24",15.5719166666667,"PSO","H","PSO-H",0.385166666666667,82,"2019-08-03",26,39,"2019-06-24",40,NA,NA,8.668,6,0.00422700343684096,12,39
"178","58-PSO-H-2ndBrood","2019-10-29",15.7038,"PSO","H","PSO-H",0.131883333333334,87,"2019-08-03",26,39,"2019-06-24",40,NA,NA,8.668,5,0.00169386127804864,13,39
"185","58-PSO-H-2ndBrood","2019-11-11",18.9668571428571,"PSO","H","PSO-H",3.26305714285714,100,"2019-08-03",26,39,"2019-06-24",40,NA,NA,8.668,13,0.0159836724617224,15,39
"189","58-PSO-H-2ndBrood","2019-11-18",19.7115,"PSO","H","PSO-H",0.744642857142857,107,"2019-08-03",26,39,"2019-06-24",40,NA,NA,8.668,7,0.0056086019006301,16,39
"33","01-BON-L","2019-07-15",12.4011923076923,"BON","L","BON-L",2.60409230769231,7,"2019-07-08",22,NA,"2019-06-24",14,"2019-08-26",49,9.7971,7,0.0379717658095954,1,49.1311475409836
"66","01-BON-L","2019-07-29",17.6974285714286,"BON","L","BON-L",5.29623626373626,21,"2019-07-08",22,NA,"2019-06-24",14,"2019-08-26",49,9.7971,14,0.0305053402028303,3,49.1311475409836
"88","01-BON-L","2019-08-05",19.73044,"BON","L","BON-L",2.03301142857143,28,"2019-07-08",22,NA,"2019-06-24",14,"2019-08-26",49,9.7971,7,0.0164108702521063,4,49.1311475409836
"121","01-BON-L","2019-08-26",23.8856923076923,"BON","L","BON-L",4.1552523076923,49,"2019-07-08",22,NA,"2019-06-24",14,"2019-08-26",49,9.7971,21,0.0100286236652177,7,49.1311475409836
"8","02-BON-L","2019-06-28",13.5715833333333,"BON","L","BON-L",4.55383333333333,7,"2019-06-21",12,NA,"2019-06-24",-3,"2019-07-24",33,9.01775,7,0.0721407911117096,1,49.1311475409836
"34","02-BON-L","2019-07-15",18.4257916666667,"BON","L","BON-L",4.85420833333333,24,"2019-06-21",12,NA,"2019-06-24",-3,"2019-07-24",33,9.01775,17,0.0210396723546135,4,49.1311475409836
"89","02-BON-L","2019-08-05",22.2111666666667,"BON","L","BON-L",3.785375,45,"2019-06-21",12,NA,"2019-06-24",-3,"2019-07-24",33,9.01775,21,0.00978280638584697,7,49.1311475409836
"123","06-BON-H","2019-08-26",16.0057333333333,"BON","H","BON-H",7.05233333333333,18,"2019-08-08",42,57,"2019-07-11",28,"2019-09-16",39,8.9534,18,0.0437594987710028,3,57
"67","07-BON-H","2019-07-29",11.3246,"BON","H","BON-H",3.07826666666667,7,"2019-07-22",26,45,"2019-06-24",28,"2019-09-09",49,8.24633333333333,7,0.0533270198010082,1,45
"90","07-BON-H","2019-08-05",15.5232857142857,"BON","H","BON-H",4.19868571428571,14,"2019-07-22",26,45,"2019-06-24",28,"2019-09-09",49,8.24633333333333,7,0.0529654243768397,2,45
"124","07-BON-H","2019-08-26",21.9306428571429,"BON","H","BON-H",6.40735714285714,35,"2019-07-22",26,45,"2019-06-24",28,"2019-09-09",49,8.24633333333333,21,0.0196551329733738,5,45
"9","09-BON-L","2019-06-28",14.0444285714286,"BON","L","BON-L",3.26328571428571,7,"2019-06-21",14,NA,"2019-06-24",-3,NA,NA,10.7811428571429,7,0.0432406545063565,1,49.1311475409836
"21","09-BON-L","2019-07-08",17.2387857142857,"BON","L","BON-L",3.19435714285714,17,"2019-06-21",14,NA,"2019-06-24",-3,NA,NA,10.7811428571429,10,0.0227446572611407,3,49.1311475409836
"35","09-BON-L","2019-07-15",18.9773214285714,"BON","L","BON-L",1.73853571428571,24,"2019-06-21",14,NA,"2019-06-24",-3,NA,NA,10.7811428571429,7,0.0144071774552045,4,49.1311475409836
"68","09-BON-L","2019-07-29",22.0128461538462,"BON","L","BON-L",3.03552472527473,38,"2019-06-21",14,NA,"2019-06-24",-3,NA,NA,10.7811428571429,14,0.0114253845295596,6,49.1311475409836
"91","09-BON-L","2019-08-05",24.1652307692308,"BON","L","BON-L",2.15238461538462,45,"2019-06-21",14,NA,"2019-06-24",-3,NA,NA,10.7811428571429,7,0.0139683671222947,7,49.1311475409836
"125","10-BON-H","2019-08-26",11.323,"BON","H","BON-H",2.34393333333333,6,"2019-08-20",17,49,"2019-06-24",57,NA,NA,8.97906666666667,6,0.0435073677541343,1,49
"10","12-BON-H","2019-06-28",12.5797,"BON","H","BON-H",3.20938,6,"2019-06-22",25,66,"2019-06-24",-2,"2019-07-22",30,9.37032,6,0.0570841408475556,1,66
"22","12-BON-H","2019-07-08",16.3734,"BON","H","BON-H",3.7937,16,"2019-06-22",25,66,"2019-06-24",-2,"2019-07-22",30,9.37032,10,0.030157316947145,3,66
"37","12-BON-H","2019-07-15",17.6079666666667,"BON","H","BON-H",1.23456666666667,23,"2019-06-22",25,66,"2019-06-24",-2,"2019-07-22",30,9.37032,7,0.0107715359465149,4,66
"70","12-BON-H","2019-07-29",20.1275333333333,"BON","H","BON-H",2.51956666666667,37,"2019-06-22",25,66,"2019-06-24",-2,"2019-07-22",30,9.37032,14,0.0102208875690198,6,66
"93","12-BON-H","2019-08-05",22.5908,"BON","H","BON-H",2.46326666666667,44,"2019-06-22",25,66,"2019-06-24",-2,"2019-07-22",30,9.37032,7,0.0174832768758834,7,66
"23","13-BON-H","2019-07-08",12.5616666666667,"BON","H","BON-H",3.30025,6,"2019-07-02",6,46,"2019-06-24",8,"2019-08-15",44,9.26141666666667,5,0.0712687943709116,1,46
"38","13-BON-H","2019-07-15",16.10175,"BON","H","BON-H",3.54008333333333,13,"2019-07-02",6,46,"2019-06-24",8,"2019-08-15",44,9.26141666666667,7,0.0402594817945753,2,46
"71","13-BON-H","2019-07-29",19.896,"BON","H","BON-H",3.79425,27,"2019-07-02",6,46,"2019-06-24",8,"2019-08-15",44,9.26141666666667,14,0.0168315777566325,4,46
"94","13-BON-H","2019-08-05",22.7988,"BON","H","BON-H",2.9028,34,"2019-07-02",6,46,"2019-06-24",8,"2019-08-15",44,9.26141666666667,7,0.0208426675857315,5,46
"72","14-BON-H","2019-07-29",10.3836363636364,"BON","H","BON-H",1.76845454545454,5,"2019-07-24",11,35,"2019-06-24",30,"2019-09-02",40,8.61518181818182,5,0.0410543754682537,1,35
"95","14-BON-H","2019-08-05",15.3889090909091,"BON","H","BON-H",5.00527272727273,12,"2019-07-24",11,35,"2019-06-24",30,"2019-09-02",40,8.61518181818182,7,0.0688620957050304,2,35
"126","14-BON-H","2019-08-26",22.9962222222222,"BON","H","BON-H",7.60731313131313,33,"2019-07-24",11,35,"2019-06-24",30,"2019-09-02",40,8.61518181818182,21,0.0235398756411528,5,35
"40","18-BON-L","2019-07-15",13.4372142857143,"BON","L","BON-L",3.087,7,"2019-07-08",7,45,"2019-06-24",14,NA,NA,10.3502142857143,7,0.042607813502826,1,45
"53","18-BON-L","2019-07-22",16.7538571428571,"BON","L","BON-L",3.31664285714286,14,"2019-07-08",7,45,"2019-06-24",14,NA,NA,10.3502142857143,7,0.035260740237856,2,45
"74","18-BON-L","2019-07-29",21.4191666666667,"BON","L","BON-L",4.66530952380953,21,"2019-07-08",7,45,"2019-06-24",14,NA,NA,10.3502142857143,7,0.0397802597594543,3,45
"97","18-BON-L","2019-08-05",23.469,"BON","L","BON-L",2.04983333333333,28,"2019-07-08",7,45,"2019-06-24",14,NA,NA,10.3502142857143,7,0.0136715558495117,4,45
"127","18-BON-L","2019-08-26",27.6198333333333,"BON","L","BON-L",4.15083333333333,49,"2019-07-08",7,45,"2019-06-24",14,NA,NA,10.3502142857143,21,0.00842211982439516,7,45
"147","18-BON-L","2019-09-30",35.6036666666667,"BON","L","BON-L",7.98383333333334,84,"2019-07-08",7,45,"2019-06-24",14,NA,NA,10.3502142857143,35,0.00825890297948421,12,45
"158","18-BON-L","2019-10-17",36.618,"BON","L","BON-L",1.01433333333333,101,"2019-07-08",7,45,"2019-06-24",14,NA,NA,10.3502142857143,17,0.00167585735551581,15,45
"11","21-BON-H","2019-06-28",11.0116,"BON","H","BON-H",1.767475,2,"2019-06-26",8,NA,"2019-06-24",2,"2019-08-04",39,9.244125,2,0.0955999080497072,1,49.1311475409836
"15","21-BON-H","2019-06-30",11.424,"BON","H","BON-H",0.4124,4,"2019-06-26",8,NA,"2019-06-24",2,"2019-08-04",39,9.244125,2,0.018725707435795,1,49.1311475409836
"26","21-BON-H","2019-07-08",17.658125,"BON","H","BON-H",6.234125,12,"2019-06-26",8,NA,"2019-06-24",2,"2019-08-04",39,9.244125,8,0.0682130273984594,2,49.1311475409836
"41","21-BON-H","2019-07-15",19.205,"BON","H","BON-H",1.546875,19,"2019-06-26",8,NA,"2019-06-24",2,"2019-08-04",39,9.244125,7,0.0125144738106194,3,49.1311475409836
"54","21-BON-H","2019-07-22",20.742875,"BON","H","BON-H",1.537875,26,"2019-06-26",8,NA,"2019-06-24",2,"2019-08-04",39,9.244125,7,0.011439543273701,4,49.1311475409836
"76","21-BON-H","2019-07-29",22.927625,"BON","H","BON-H",2.18475,33,"2019-06-26",8,NA,"2019-06-24",2,"2019-08-04",39,9.244125,7,0.0150464746500735,5,49.1311475409836
"99","21-BON-H","2019-08-05",24.088125,"BON","H","BON-H",1.1605,40,"2019-06-26",8,NA,"2019-06-24",2,"2019-08-04",39,9.244125,7,0.00723082806377523,6,49.1311475409836
"27","22-BON-H","2019-07-08",13.8003333333333,"BON","H","BON-H",4.4882,11,"2019-06-27",48,67,"2019-06-24",3,"2019-08-15",49,9.80626666666667,10,0.0481973339442448,2,67
"42","22-BON-H","2019-07-15",16.0010666666667,"BON","H","BON-H",2.20073333333333,18,"2019-06-27",48,67,"2019-06-24",3,"2019-08-15",49,9.80626666666667,7,0.0227813682899309,3,67
"55","22-BON-H","2019-07-22",17.7940666666667,"BON","H","BON-H",1.793,25,"2019-06-27",48,67,"2019-06-24",3,"2019-08-15",49,9.80626666666667,7,0.0160078613806699,4,67
"77","22-BON-H","2019-07-29",19.6098666666667,"BON","H","BON-H",1.8158,32,"2019-06-27",48,67,"2019-06-24",3,"2019-08-15",49,9.80626666666667,7,0.0145778930055337,5,67
"100","22-BON-H","2019-08-05",22.1163333333333,"BON","H","BON-H",2.50646666666667,39,"2019-06-27",48,67,"2019-06-24",3,"2019-08-15",49,9.80626666666667,7,0.0182595156179882,6,67
"13","27-BON-L","2019-06-28",10.5749,"BON","L","BON-L",0.513299999999999,1,"2019-06-27",5,45,"2019-06-24",3,"2019-07-28",31,10.0616,1,0.0510157430229784,1,45
"29","27-BON-L","2019-07-08",17.0116,"BON","L","BON-L",6.4367,11,"2019-06-27",5,45,"2019-06-24",3,"2019-07-28",31,10.0616,10,0.0608677150611353,2,45
"44","27-BON-L","2019-07-15",18.5518,"BON","L","BON-L",1.5402,18,"2019-06-27",5,45,"2019-06-24",3,"2019-07-28",31,10.0616,7,0.0129340315683752,3,45
"57","27-BON-L","2019-07-22",22.0444,"BON","L","BON-L",3.4926,25,"2019-06-27",5,45,"2019-06-24",3,"2019-07-28",31,10.0616,7,0.0268945793477106,4,45
"79","27-BON-L","2019-07-29",22.9106,"BON","L","BON-L",0.866199999999999,32,"2019-06-27",5,45,"2019-06-24",3,"2019-07-28",31,10.0616,7,0.0056133465706872,5,45
"102","27-BON-L","2019-08-05",26.2478,"BON","L","BON-L",3.3372,39,"2019-06-27",5,45,"2019-06-24",3,"2019-07-28",31,10.0616,7,0.0208088333410237,6,45
"30","29-BON-H","2019-07-08",15.0284285714286,"BON","H","BON-H",4.544,6,"2019-07-02",7,46,"2019-06-24",8,"2019-08-04",33,10.4844285714286,5,0.0866809281792045,1,46
"45","29-BON-H","2019-07-15",16.8922857142857,"BON","H","BON-H",1.86385714285714,13,"2019-07-02",7,46,"2019-06-24",8,"2019-08-04",33,10.4844285714286,7,0.0177174416378211,2,46
"58","29-BON-H","2019-07-22",19.3104285714286,"BON","H","BON-H",2.41814285714285,20,"2019-07-02",7,46,"2019-06-24",8,"2019-08-04",33,10.4844285714286,7,0.0204501028122969,3,46
"80","29-BON-H","2019-07-29",21.2021428571429,"BON","H","BON-H",1.89171428571429,27,"2019-07-02",7,46,"2019-06-24",8,"2019-08-04",33,10.4844285714286,7,0.0139947643813061,4,46
"103","29-BON-H","2019-08-05",23.3581428571429,"BON","H","BON-H",2.156,34,"2019-07-02",7,46,"2019-06-24",8,"2019-08-04",33,10.4844285714286,7,0.0145268335410841,5,46
"47","35-BON-L","2019-07-15",15.1812857142857,"BON","L","BON-L",4.52885238095238,15,"2019-06-30",33,65,"2019-06-24",6,"2019-07-30",30,10.6524333333333,15,0.0283431477687563,3,65
"61","35-BON-L","2019-07-22",17.9529230769231,"BON","L","BON-L",2.77163736263736,22,"2019-06-30",33,65,"2019-06-24",6,"2019-07-30",30,10.6524333333333,7,0.0260813347508433,4,65
"83","35-BON-L","2019-07-29",19.6036923076923,"BON","L","BON-L",1.65076923076923,29,"2019-06-30",33,65,"2019-06-24",6,"2019-07-30",30,10.6524333333333,7,0.0131356980038146,5,65
"106","35-BON-L","2019-08-05",23.306,"BON","L","BON-L",3.70230769230769,36,"2019-06-30",33,65,"2019-06-24",6,"2019-07-30",30,10.6524333333333,7,0.0269796674320155,6,65
"133","40-BON-L-2ndBrood","2019-08-27",14.5776363636364,"BON","L","BON-L",5.40673636363636,12,"2019-08-15",11,37,"2019-07-11",35,"2019-10-29",75,9.1709,12,0.0491294598824939,2,37
"151","40-BON-L-2ndBrood","2019-09-30",26.68,"BON","L","BON-L",12.1023636363636,46,"2019-08-15",11,37,"2019-07-11",35,"2019-10-29",75,9.1709,34,0.0244176670880383,7,37
"163","40-BON-L-2ndBrood","2019-10-18",30.6319090909091,"BON","L","BON-L",3.95190909090909,64,"2019-08-15",11,37,"2019-07-11",35,"2019-10-29",75,9.1709,18,0.0082290294246816,10,37
"171","40-BON-L-2ndBrood","2019-10-24",31.6692,"BON","L","BON-L",1.03729090909091,70,"2019-08-15",11,37,"2019-07-11",35,"2019-10-29",75,9.1709,6,0.00564384732498197,10,37
"187","40-BON-L-2ndBrood","2019-11-18",28.3913333333333,"BON","L","BON-L",-3.27786666666667,95,"2019-08-15",11,37,"2019-07-11",35,"2019-10-29",75,9.1709,25,-0.00414013194733895,14,37
"134","41-BON-H","2019-08-27",18.4052666666667,"BON","H","BON-H",10.4937851851852,22,"2019-08-05",72,49,"2019-06-24",42,"2019-09-13",39,7.91148148148148,22,0.0602908869605185,4,49
"108","43-BON-L","2019-08-05",14.9966,"BON","L","BON-L",4.50466666666667,8,"2019-07-28",17,42,"2019-06-24",34,"2019-09-12",46,8.68478571428571,7,0.0613351027955264,2,42
"135","43-BON-L","2019-08-27",21.4657857142857,"BON","L","BON-L",6.46918571428571,30,"2019-07-28",17,42,"2019-06-24",34,"2019-09-12",46,8.68478571428571,22,0.0196080375621072,5,42
